country,state,style,name,brewery
United States,Michigan,American IPA,Two Hearted Ale,"Bell's Brewery, Inc."
United States,New York,American IPA,Flower Power India Pale Ale,Ithaca Beer Company
United States,Illinois,English Barleywine,Bourbon County Brand Barleywine Ale,Goose Island Beer Co.
United States,New York,Dubbel,Ommegang (Abbey Ale),Brewery Ommegang
United States,Missouri,Saison / Farmhouse Ale,Tank 7 Farmhouse Ale,Boulevard Brewing Co.
United States,Minnesota,American Double / Imperial IPA,Abrasive Ale,Surly Brewing Company
United States,Colorado,Scotch Ale / Wee Heavy,Old Chub - Scottish Style Ale,Oskar Blues Grill & Brew
United States,Illinois,English India Pale Ale (IPA),India Pale Ale,Goose Island Beer Co.
United States,Michigan,Old Ale,Founders Curmudgeon (Old Ale),Founders Brewing Company
United States,California,American Strong Ale,Undercover Investigation Shut-down Ale,Lagunitas Brewing Company
United States,Michigan,American IPA,Founders Harvest Ale,Founders Brewing Company
United States,California,American IPA,AleSmith IPA,AleSmith Brewing Company
United States,California,American Amber / Red Ale,Levitation Ale,Stone Brewing
United States,Illinois,English Bitter,Honker's Ale,Goose Island Beer Co.
United States,Colorado,American Double / Imperial IPA,G'Knight Imperial Red Ale,Oskar Blues Grill & Brew
United States,Oregon,American Pale Ale (APA),Mirror Pond Pale Ale,Deschutes Brewery
United States,Oregon,American Stout,Chocolate Stout,Rogue Ales
United States,Oregon,American Brown Ale,Hazelnut Brown Nectar,Rogue Ales
United States,California,American IPA,Northern Hemisphere Harvest Wet Hop Ale,Sierra Nevada Brewing Co.
United States,Maryland,American IPA,Heavy Seas Loose Cannon - American Hop3 Ale,Heavy Seas Beer
United States,Massachusetts,Winter Warmer,Samuel Adams Old Fezziwig Ale,Boston Beer Company (Samuel Adams)
United States,Illinois,American Pale Ale (APA),Daisy Cutter Pale Ale,Half Acre Beer Company
United States,Georgia,American Pale Ale (APA),Sweetwater 420 Extra Pale Ale,SweetWater Brewing Company
United States,Michigan,American IPA,Two Hearted Ale,"Bell's Brewery, Inc."
United States,California,American Pale Ale (APA),Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
United States,California,American IPA,Stone IPA (India Pale Ale),Stone Brewing
United States,California,American Strong Ale,Arrogant Bastard Ale,Arrogant Brewing
United States,California,American Double / Imperial IPA,Lagunitas Sucks (Brown Shugga Substitute Ale),Lagunitas Brewing Company
United States,Colorado,American Amber / Red Ale,Fat Tire Amber Ale,New Belgium Brewing
United States,Michigan,American Double / Imperial IPA,Hopslam Ale,"Bell's Brewery, Inc."
United States,California,American Pale Wheat Ale,A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company
United States,California,American IPA,Racer 5 India Pale Ale,Bear Republic Brewing Co.
United States,California,American Barleywine,Sierra Nevada Bigfoot Barleywine Style Ale,Sierra Nevada Brewing Co.
United States,Oregon,Maibock / Helles Bock,Dead Guy Ale,Rogue Ales
United States,Colorado,American Pale Ale (APA),Dale's Pale Ale,Oskar Blues Grill & Brew
United States,California,American Strong Ale,Double Bastard Ale,Arrogant Brewing
United States,California,American IPA,Sierra Nevada Celebration Ale,Sierra Nevada Brewing Co.
United States,Michigan,American Pale Wheat Ale,Bell's Oberon Ale,"Bell's Brewery, Inc."
United States,California,American Double / Imperial Stout,AleSmith Speedway Stout,AleSmith Brewing Company
United States,Pennsylvania,American IPA,Hop Devil Ale,Victory Brewing Company - Downingtown
United States,Delaware,Pumpkin Ale,Punkin Ale,Dogfish Head Craft Brewery
United States,California,American IPA,Union Jack India Pale Ale,Firestone Walker Brewing Co.
